"","sido","center","type","applicants","total","grade1","grade2","grade3","grade4","grade5","outer"
"1","서울","영등포운영센터","합계",4009,2658,311,482,1136,663,66,444
"2","서울","영등포운영센터","일반",3000,1936,229,347,840,466,54,314
"3","서울","영등포운영센터","기초수급",616,367,39,78,139,106,5,113
"4","서울","영등포운영센터","의료급여",39,25,1,3,12,8,1,7
"5","서울","영등포운영센터","경감",354,330,42,54,145,83,6,10
"6","서울","광진운영센터","합계",3010,1868,123,284,861,546,54,484
"7","서울","광진운영센터","일반",2260,1363,89,209,626,397,42,369
"8","서울","광진운영센터","기초수급",429,210,18,27,93,69,3,104
"9","서울","광진운영센터","의료급여",34,24,2,1,14,7,0,2
"10","서울","광진운영센터","경감",287,271,14,47,128,73,9,9
"11","서울","동대문운영센터","합계",4161,2694,323,600,1033,714,24,370
"12","서울","동대문운영센터","일반",2895,1868,257,428,697,470,16,236
"13","서울","동대문운영센터","기초수급",782,368,26,65,144,131,2,122
"14","서울","동대문운영센터","의료급여",35,23,2,6,9,5,1,4
"15","서울","동대문운영센터","경감",449,435,38,101,183,108,5,8
"16","서울","성북운영센터","합계",5172,3302,409,687,1304,838,64,700
"17","서울","성북운영센터","일반",3717,2303,303,483,892,573,52,506
"18","서울","성북운영센터","기초수급",841,437,42,79,170,140,6,174
"19","서울","성북운영센터","의료급여",56,33,3,9,13,8,0,9
"20","서울","성북운영센터","경감",558,529,61,116,229,117,6,11
"21","서울","노원운영센터","합계",7316,4073,413,513,1629,1362,156,1609
"22","서울","노원운영센터","일반",4357,2373,219,309,965,779,101,884
"23","서울","노원운영센터","기초수급",2127,998,122,112,356,378,30,653
"24","서울","노원운영센터","의료급여",129,71,8,10,32,19,2,23
"25","서울","노원운영센터","경감",703,631,64,82,276,186,23,49
"26","서울","서대문운영센터","합계",3465,2083,241,416,856,500,70,499
"27","서울","서대문운영센터","일반",2615,1503,178,304,614,352,55,385
"28","서울","서대문운영센터","기초수급",487,243,22,46,105,65,5,101
"29","서울","서대문운영센터","의료급여",26,18,3,2,10,3,0,3
"30","서울","서대문운영센터","경감",337,319,38,64,127,80,10,10
"31","서울","양천운영센터","합계",4577,3004,277,468,1216,976,67,677
"32","서울","양천운영센터","일반",3271,2088,200,324,845,667,52,459
"33","서울","양천운영센터","기초수급",686,368,35,54,130,142,7,188
"34","서울","양천운영센터","의료급여",72,38,1,5,19,13,0,14
"35","서울","양천운영센터","경감",548,510,41,85,222,154,8,16
"36","서울","구로운영센터","합계",4535,3136,380,684,1264,784,24,462
"37","서울","구로운영센터","일반",3353,2250,289,494,897,552,18,347
"38","서울","구로운영센터","기초수급",559,311,16,56,129,106,4,88
"39","서울","구로운영센터","의료급여",41,31,4,7,15,5,0,4
"40","서울","구로운영센터","경감",582,544,71,127,223,121,2,23
"41","서울","관악운영센터","합계",4691,2775,284,440,1022,962,67,682
"42","서울","관악운영센터","일반",3254,1865,206,276,693,642,48,470
"43","서울","관악운영센터","기초수급",928,456,37,75,159,175,10,184
"44","서울","관악운영센터","의료급여",69,39,4,6,18,11,0,10
"45","서울","관악운영센터","경감",440,415,37,83,152,134,9,18
"46","서울","서초운영센터","합계",2865,2004,256,379,823,504,42,316
"47","서울","서초운영센터","일반",2406,1672,226,334,667,408,37,246
"48","서울","서초운영센터","기초수급",247,137,15,20,55,45,2,59
"49","서울","서초운영센터","의료급여",19,13,0,0,7,6,0,4
"50","서울","서초운영센터","경감",193,182,15,25,94,45,3,7
"51","서울","송파운영센터","합계",4962,3262,344,554,1255,1014,95,596
"52","서울","송파운영센터","일반",3908,2479,272,431,922,768,86,469
"53","서울","송파운영센터","기초수급",579,353,27,51,144,129,2,105
"54","서울","송파운영센터","의료급여",50,35,2,4,19,8,2,8
"55","서울","송파운영센터","경감",425,395,43,68,170,109,5,14
"56","서울","마포운영센터","합계",3450,2028,198,319,676,765,70,512
"57","서울","마포운영센터","일반",2612,1502,157,250,500,539,56,363
"58","서울","마포운영센터","기초수급",478,207,14,25,57,107,4,129
"59","서울","마포운영센터","의료급여",38,25,3,4,8,10,0,3
"60","서울","마포운영센터","경감",322,294,24,40,111,109,10,17
"61","서울","종로운영센터","합계",1718,1107,147,259,389,290,22,175
"62","서울","종로운영센터","일반",1304,837,115,199,285,219,19,116
"63","서울","종로운영센터","기초수급",252,119,14,29,43,33,0,55
"64","서울","종로운영센터","의료급여",17,10,0,2,4,4,0,2
"65","서울","종로운영센터","경감",145,141,18,29,57,34,3,2
"66","서울","용산운영센터","합계",2215,1407,186,312,481,411,17,221
"67","서울","용산운영센터","일반",1633,1069,147,245,371,293,13,136
"68","서울","용산운영센터","기초수급",377,149,15,21,47,64,2,79
"69","서울","용산운영센터","의료급여",21,11,0,3,2,5,1,2
"70","서울","용산운영센터","경감",184,178,24,43,61,49,1,4
"71","서울","성동운영센터","합계",2639,1734,217,316,651,514,36,278
"72","서울","성동운영센터","일반",1958,1256,167,238,466,358,27,216
"73","서울","성동운영센터","기초수급",406,219,15,28,91,82,3,55
"74","서울","성동운영센터","의료급여",29,20,5,4,6,5,0,2
"75","서울","성동운영센터","경감",246,239,30,46,88,69,6,5
"76","서울","중랑운영센터","합계",4550,3193,367,639,1308,819,60,499
"77","서울","중랑운영센터","일반",2864,1899,199,387,797,476,40,298
"78","서울","중랑운영센터","기초수급",1079,737,107,136,291,193,10,178
"79","서울","중랑운영센터","의료급여",57,39,6,7,18,7,1,8
"80","서울","중랑운영센터","경감",550,518,55,109,202,143,9,15
"81","서울","강북운영센터","합계",4060,2479,229,513,1031,661,45,700
"82","서울","강북운영센터","일반",2733,1573,138,337,658,410,30,477
