"","sido","center","type","applicants","total","grade1","grade2","grade3","grade4","grade5","outer"
"1","서울","영등포운영센터","합계",4239,2797,321,442,1125,789,120,485
"2","서울","영등포운영센터","일반",3233,2064,239,336,815,568,106,351
"3","서울","영등포운영센터","기초수급",591,358,35,57,147,113,6,114
"4","서울","영등포운영센터","의료급여",38,22,1,2,11,8,0,5
"5","서울","영등포운영센터","경감",377,353,46,47,152,100,8,15
"6","서울","광진운영센터","합계",3149,2011,140,279,840,645,107,505
"7","서울","광진운영센터","일반",2364,1470,98,205,621,461,85,375
"8","서울","광진운영센터","기초수급",441,233,22,26,85,89,11,111
"9","서울","광진운영센터","의료급여",28,16,2,1,6,6,1,2
"10","서울","광진운영센터","경감",316,292,18,47,128,89,10,17
"11","서울","동대문운영센터","합계",4438,3003,310,592,1165,882,54,368
"12","서울","동대문운영센터","일반",3079,2091,253,417,804,574,43,229
"13","서울","동대문운영센터","기초수급",831,420,20,73,168,155,4,126
"14","서울","동대문운영센터","의료급여",43,29,2,5,12,9,1,4
"15","서울","동대문운영센터","경감",485,463,35,97,181,144,6,9
"16","서울","성북운영센터","합계",5467,3555,382,637,1398,1017,121,728
"17","서울","성북운영센터","일반",3924,2477,290,442,961,690,94,525
"18","서울","성북운영센터","기초수급",908,497,36,80,184,183,14,182
"19","서울","성북운영센터","의료급여",59,38,4,7,19,7,1,7
"20","서울","성북운영센터","경감",576,543,52,108,234,137,12,14
"21","서울","노원운영센터","합계",7721,4366,403,505,1678,1547,233,1735
"22","서울","노원운영센터","일반",4541,2488,208,298,975,859,148,950
"23","서울","노원운영센터","기초수급",2265,1100,118,111,393,437,41,707
"24","서울","노원운영센터","의료급여",133,76,5,7,39,19,6,26
"25","서울","노원운영센터","경감",782,702,72,89,271,232,38,52
"26","서울","서대문운영센터","합계",3680,2309,234,405,927,669,74,476
"27","서울","서대문운영센터","일반",2714,1621,168,288,643,468,54,357
"28","서울","서대문운영센터","기초수급",531,279,25,39,116,92,7,106
"29","서울","서대문운영센터","의료급여",32,26,4,2,9,11,0,1
"30","서울","서대문운영센터","경감",403,383,37,76,159,98,13,12
"31","서울","양천운영센터","합계",4945,3375,267,465,1302,1213,128,727
"32","서울","양천운영센터","일반",3498,2329,190,301,917,821,100,486
"33","서울","양천운영센터","기초수급",783,459,28,64,158,196,13,203
"34","서울","양천운영센터","의료급여",63,36,2,7,15,12,0,12
"35","서울","양천운영센터","경감",601,551,47,93,212,184,15,26
"36","서울","구로운영센터","합계",4894,3402,376,686,1339,956,45,560
"37","서울","구로운영센터","일반",3565,2388,270,488,944,655,31,416
"38","서울","구로운영센터","기초수급",642,375,25,65,139,141,5,121
"39","서울","구로운영센터","의료급여",59,40,6,9,13,12,0,9
"40","서울","구로운영센터","경감",628,599,75,124,243,148,9,14
"41","서울","관악운영센터","합계",5043,3100,345,460,1147,1030,118,703
"42","서울","관악운영센터","일반",3491,2104,250,317,764,687,86,461
"43","서울","관악운영센터","기초수급",995,505,45,60,194,188,18,215
"44","서울","관악운영센터","의료급여",63,35,1,7,14,11,2,8
"45","서울","관악운영센터","경감",494,456,49,76,175,144,12,19
"46","서울","서초운영센터","합계",3055,2156,265,384,832,613,62,338
"47","서울","서초운영센터","일반",2547,1787,232,327,671,499,58,261
"48","서울","서초운영센터","기초수급",282,162,14,25,60,62,1,66
"49","서울","서초운영센터","의료급여",26,19,0,0,14,5,0,4
"50","서울","서초운영센터","경감",200,188,19,32,87,47,3,7
"51","서울","송파운영센터","합계",5259,3534,367,558,1349,1102,158,575
"52","서울","송파운영센터","일반",4131,2685,284,410,996,854,141,449
"53","서울","송파운영센터","기초수급",611,373,29,56,139,142,7,105
"54","서울","송파운영센터","의료급여",52,31,3,6,14,6,2,11
"55","서울","송파운영센터","경감",465,445,51,86,200,100,8,10
"56","서울","마포운영센터","합계",3568,2121,210,299,643,816,153,504
"57","서울","마포운영센터","일반",2665,1525,149,220,486,563,107,367
"58","서울","마포운영센터","기초수급",525,264,24,25,67,129,19,117
"59","서울","마포운영센터","의료급여",39,28,4,7,5,11,1,2
"60","서울","마포운영센터","경감",339,304,33,47,85,113,26,18
"61","서울","종로운영센터","합계",1781,1130,148,258,379,300,45,199
"62","서울","종로운영센터","일반",1374,873,108,204,302,226,33,142
"63","서울","종로운영센터","기초수급",258,118,17,25,34,39,3,53
"64","서울","종로운영센터","의료급여",12,8,2,0,5,1,0,0
"65","서울","종로운영센터","경감",137,131,21,29,38,34,9,4
"66","서울","용산운영센터","합계",2342,1484,161,299,522,471,31,248
"67","서울","용산운영센터","일반",1734,1111,126,232,402,327,24,162
"68","서울","용산운영센터","기초수급",399,179,12,19,59,86,3,80
"69","서울","용산운영센터","의료급여",24,15,1,3,5,6,0,3
"70","서울","용산운영센터","경감",185,179,22,45,56,52,4,3
"71","서울","성동운영센터","합계",2869,1906,207,298,672,631,98,312
"72","서울","성동운영센터","일반",2114,1361,160,216,467,440,78,241
"73","서울","성동운영센터","기초수급",453,260,16,31,102,102,9,63
"74","서울","성동운영센터","의료급여",23,15,4,4,5,1,1,4
