"","sido","center","type","applicants","total","grade1","grade2","grade3","outer"
"1","서울","영등포 운영센터","합계",3820,2412,317,490,1605,456
"2","서울","영등포 운영센터","일반",2870,1753,236,357,1160,320
"3","서울","영등포 운영센터","기초수급",599,345,48,68,229,119
"4","서울","영등포 운영센터","의료급여",31,17,2,4,11,6
"5","서울","영등포 운영센터","경감",320,297,31,61,205,11
"6","서울","광진 운영센터","합계",2828,1717,136,294,1287,480
"7","서울","광진 운영센터","일반",2126,1261,101,219,941,357
"8","서울","광진 운영센터","기초수급",421,204,21,28,155,109
"9","서울","광진 운영센터","의료급여",27,16,1,3,12,2
"10","서울","광진 운영센터","경감",254,236,13,44,179,12
"11","서울","동대문 운영센터","합계",3753,2271,315,551,1405,358
"12","서울","동대문 운영센터","일반",2620,1593,250,396,947,239
"13","서울","동대문 운영센터","기초수급",708,280,18,51,211,110
"14","서울","동대문 운영센터","의료급여",31,17,1,7,9,4
"15","서울","동대문 운영센터","경감",394,381,46,97,238,5
"16","서울","성북 운영센터","합계",4879,2982,373,685,1924,746
"17","서울","성북 운영센터","일반",3633,2186,294,520,1372,544
"18","서울","성북 운영센터","기초수급",789,385,32,60,293,181
"19","서울","성북 운영센터","의료급여",53,32,3,9,20,9
"20","서울","성북 운영센터","경감",404,379,44,96,239,12
"21","서울","노원 운영센터","합계",6762,3646,395,546,2705,1518
"22","서울","노원 운영센터","일반",4043,2080,211,332,1537,889
"23","서울","노원 운영센터","기초수급",2019,980,128,119,733,578
"24","서울","노원 운영센터","의료급여",121,63,7,12,44,21
"25","서울","노원 운영센터","경감",579,523,49,83,391,30
"26","서울","서대문 운영센터","합계",3219,1885,213,492,1180,505
"27","서울","서대문 운영센터","일반",2458,1396,160,368,868,392
"28","서울","서대문 운영센터","기초수급",458,212,19,59,134,101
"29","서울","서대문 운영센터","의료급여",28,18,4,1,13,3
"30","서울","서대문 운영센터","경감",275,259,30,64,165,9
"31","서울","양천 운영센터","합계",4211,2576,265,434,1877,716
"32","서울","양천 운영센터","일반",3058,1796,189,310,1297,522
"33","서울","양천 운영센터","기초수급",626,326,37,53,236,159
"34","서울","양천 운영센터","의료급여",60,27,3,3,21,17
